username,tanggal,sentimen,tweet
BangPitung_AJW,3/7/2022 4:06,positif,juli 2021 expos eksklusif data manipulasi ilmuwan studi dunia nyata cdc vaksin covid 19 aman hamil b adab
SinarOnline,3/7/2022 4:04,netral,klinik siti health care organizer hco lantik raja sedia vaksin dosis booster masyarakat
raratitihhh,3/7/2022 4:02,netral,vaksin covid 19 8 maret 2022 astrazeneca dosis 1 2 3 by pusk sempaja alamat tera pusk loa bakung pfizer dosis 1 2 3 pusk sidomulyo pfizer dosis 2 3 astrazeneca dosis 1 2 3 10 maret 2022 kantor kel sambut
geezz98,3/7/2022 4:01,netral,habis kena covid langsung vaksinbooster cipeng
rtm_swk,3/7/2022 4:01,netral,daftar anak vaksinasi covid 19 rara jom lindung keluarga covid 19 pemberitahuan vaksin kanak kanak layar klik edisi penuh
rtm_swk,3/7/2022 4:01,netral,ambil dosis booster vaksin covid 19 ada ragu dosis booster covid 19 dapat peti e majalah myhealth edisi mac 2022 klik
darinagani,3/7/2022 4:01,netral,anak 5 vaksin trauma kena covid risau my son
Rais56482946,3/7/2022 3:54,netral,ayo segera vaksinasi gilir vaksin lindung tubuh kurang resiko sakit parah mati akibat covid 19 informasi kait covid 19 kunjung situs resmi cepatvaksin kkpaccelerate
HelenaBera6,3/7/2022 3:52,netral,yuk laku vaksinasi covid 19 moderna rsud budhi asih daftar online link jadwal vaksin moderna rsud budhi asih rabu jum pk 11 00 pk 13 00
agendadaily,3/7/2022 3:50,netral,67 73 juta dosis vaksin covid 19 februari 2021
RECOVERADIO,3/7/2022 3:46,netral,192 juta duduk indonesia sunti vaksin covid 19
FitRadioBandung,3/7/2022 3:46,positif,kemenkes umum cakup vaksinasi covid 19 dosis lampau 70 total target sasar catat 146 5 juta duduk terima vaksinkedua cepat gelombang omicron staysafe stayfitforlife
BernamaTV,3/7/2022 3:45,netral,184 kes kategori lapor 55 kes vaksin lengkap vaksinasi 85 kes terima dosis vaksin covid 19 terima dosis booster 44 kes terima dosis booster
gufranlazuardi,3/7/2022 3:44,negatif,vaksin covid flu babi
21BeritaTerkini,3/7/2022 3:42,positif,puncak covid lampau kepala bin ingat vaksin gencar
Rakyat_Merdeka9,3/7/2022 3:41,netral,top news koran rakyat merdeka bin geber vaksinasi lawan corona istirahat booster vaksin vaksinasi omicron omicronvirus omicronvariant corona coronavirus covid 19 covid rakyatmerdeka rmid
Rakyat_Merdeka9,3/7/2022 3:41,netral,top news koran rakyat merdeka roadmap disiapin transisi endemi sabar ya booster vaksin vaksinasi omicron omicronvirus omicronvariant corona coronavirus covid 19 covid rakyatmerdeka rmid
Rakyat_Merdeka9,3/7/2022 3:40,netral,omicron picu kejut lho booster vaksin vaksinasi omicron omicronvirus omicronvariant corona coronavirus covid 19 covid rakyatmerdeka rmid
Rakyat_Merdeka9,3/7/2022 3:40,netral,top news koran rakyat merdeka bal bebas karantina ppln eks direktur who asia tenggara booster vaksin vaksinasi omicron omicronvirus omicronvariant corona coronavirus covid 19 covid rakyatmerdeka rmid
Rakyat_Merdeka9,3/7/2022 3:40,netral,batas buka vaksin penuh warga malaysia raya idul fitri malaysia vaksin vaksinasi omicron omicronvirus omicronvariant corona coronavirus covid 19 covid rakyatmerdeka rmid
Novelanii,3/7/2022 3:40,positif,vaksin covid pilih perintah uji jamin aman indonesia disiplin protokol sehat
SumandoGaek,3/7/2022 3:39,negatif,vaksin covid resiko banyak milih diem takut bayar
PklHumas,3/7/2022 3:37,positif,giat bhabinkamtibmas kec pematang jaya polsek pangkal susu brigadir rico surya ardana d sh laksana giat monitoring vaksin masal masyarakat puskesmas pematang jaya masyarakat cegah sebar covid 19
ONation45,3/7/2022 3:35,positif,satgas covid 19 gencar vaksin protokol sehat indonesia peduli protokol sehat
PKuburaya,3/7/2022 3:26,netral,layan suntik tahan hadap vaksinasi covid 19 dinas sehat kabupaten kubu raya dosis 1 2 booster vaksin anak buka masyarakat indonesia
ISMAweb_net,3/7/2022 3:23,netral,15 juta populasi dewasa negara terima dosis booster serama 15 017 166 individu dewasa terima dosis booster covid 19 takat malam populasi kanak kanak usia 5 11 1 026 732 individu terima dosis vaksin covid 19
CEOfficialID,3/7/2022 3:21,positif,puncak covid lampau kepala bin ingat vaksin gencar
protecthealthco,3/7/2022 3:20,netral,takat 97 4 populasi dewasa lengkap vaksinasi malaysianow mnow mnownews malaysia covid vaksin booster vaksin untuk anak
JohnpiterT,3/7/2022 3:20,negatif,vaksin covid ambil enzim babi nya kedelai mahal terna babi china memeliha babi sangat byk menbuat vaksin corona
Citra7kirana,3/7/2022 3:19,positif,luhut kecam orang ajak tolak vaksin covid 19 indonesia disiplin protokol sehat
Tribun_Solo,3/7/2022 3:19,netral,viral siswa sampai dengan tahan hadap tahan hadap suntik vaksin covid 19 kadinkes banten fakta solo
HumasPoldaRiau,3/7/2022 3:19,positif,ayo bantu lansia usia 60 atas vaksin covid 19
GembrotKucing,3/7/2022 3:19,positif,indonesia disiplin protokol sehat satgas covid 19 gencar vaksin protokol sehat
NurdinPurnomo2,3/7/2022 3:17,positif,luhut kecam orang ajak tolak vaksin covid 19 tanggung tinggal indonesia disiplin protokol sehat
fahrian26097889,3/7/2022 3:12,positif,orang ajak tolak vaksin covid 19 tanggung indonesia disiplin protokol sehat
RakyatJambi4,3/7/2022 3:12,positif,1 9 satgas covid 19 gencar vaksin protokol sehat indonesia disiplin protokol sehat
NkriBuzzer,3/7/2022 3:10,positif,8 satgas covid 19 gencar vaksin protokol sehat indonesia disiplin protokol sehat
ZonaNyamaninAja,3/7/2022 3:06,positif,syamsuar yakin masyarakat lansia vaksin covid 19 aman sakit serta indonesia disiplin protokol sehat
May_Nadeak,3/7/2022 3:03,positif,satgas covid 19 gencar vaksin protokol sehat indonesia disiplin protokol sehat
ridhorirzky,3/7/2022 3:03,positif,mari vaksin vaksin disipilin protokol sehat bukti kurang tingkat parah covid
YudhaPr22984673,3/7/2022 3:02,positif,ayo vaksin pandemi mari patuh protokol sehat mari lawan covid 19 patuh protokol sehat covid 19 lawancovid19 corona protokolkesehatan polresmojokertokota humaspolresmojokertokota
meylitaaprilia1,3/7/2022 2:59,positif,satgas covid 19 tingkat vaksinasi terap protokol sehat indonesia disiplin protokol sehat
gerakanHangat,3/7/2022 2:58,positif,vaksin aman halal lawan covid 19 indonesia disiplin protokol sehat
NugrinTee,3/7/2022 2:55,positif,satgas covid 19 gencar vaksin protokol sehat indonesia disiplin protokol sehat
chirping_magpie,3/7/2022 2:55,positif,ya prediksi vaksin lengkap protokol sehat disiplin bersih covid serang piy jal
MirandaGeiys,3/7/2022 2:55,positif,ayoo berani vaksin lawan covid 19 indonesia disiplin protokol sehat
RiKaribo,3/7/2022 2:50,positif,vaksin lindung anak anak ikut didik tatap muka lindung covid 19 indonesia disiplin protokol sehat
NurdinPurnomo2,3/7/2022 2:50,positif,satgas covid 19 gencar vaksin protokol sehat indonesia disiplin protokol sehat
MinC900,3/7/2022 2:49,positif,waspada provokasi kelompok penting kait tolak vaksin vaksin covid pilih perintah uji jamin aman indonesia disiplin protokol sehat
131withU,3/7/2022 2:48,netral,gitu 3x vaksin 3x covid kuaaat
garuda_emas17,3/7/2022 2:47,positif,waspada provokasi kelompok penting kait tolak vaksin vaksin covid pilih perintah uji jamin aman indonesia disiplin protokol sehat
MuhammadMumu113,3/7/2022 2:46,netral,192 juta duduk indonesia sunti vaksin covid 19
pleekkkkkkk,3/7/2022 2:45,netral,halo kak positif covid 19 vaksin 1x ambil polymerase chain reaction jadi pedulilindungi hijau tunggu 10
EksSundaEmpire,3/7/2022 2:45,positif,satgas covid 19 gencar vaksin protokol sehat indonesia disiplin protokol sehat
AndikaCaniago1,3/7/2022 2:45,netral,luhut kecam orang ajak tolak vaksin covid 19 indonesia disiplin protokol sehat
RatnaPurnawati1,3/7/2022 2:45,positif,satgas covid 19 gencar vaksin protokol sehat indonesia disiplin protokol sehat
bharianmy,3/7/2022 2:42,netral,bhnasional 28 9 atus populasi kanak kanak terima dosis vaksin covid 19 covid 19 endemik
lampungpost_,3/7/2022 2:41,netral,masyarakat indonesia suntik vaksin covid 19 dosis tambah total 147 858 311 orang terima vaksin lengkap minggu 6 maret 2022 vaksin vaksincovid19 beritaterkini lampostco
kompascom,3/7/2022 2:40,netral,airlangga acara puncak lahir nahdlatul ulama harlah nahdlatul ulama 99 wilayah barat indonesia
UntungLimagar,3/7/2022 2:40,positif,percaya berita palsu provokasi suara tolak vaksinasi covid 19 vaksin covid 19 pilih perintah uji jamin indonesia disiplin protokol sehat
ppid_purwakarta,3/7/2022 2:37,positif,sampurasun sobatnet istimewa jadwal vaksinasi covid 19 kabupaten purwakarta 7 maret 12 maret 2022 ayo vaksin diskominfopurwakarta semakindigjaya purwakarta istimewa
Indah05209372,3/7/2022 2:36,netral,indonesia disiplin protokol sehat patuh protokol sehat
Christi13494529,3/7/2022 2:36,positif,luhut kecam orang ajak tolak vaksin covid 19 indonesia disiplin protokol sehat
GimanPakcik,3/7/2022 2:36,netral,waspada provokasi kelompok penting kait tolak vaksin vaksin covid jamin
Christi13494529,3/7/2022 2:36,positif,luhut kecam orang ajak tolak vaksin covid 19 tanggung tinggal indonesia disiplin protokol sehat
covid_gugus,3/7/2022 2:35,positif,vaksin merah putih suci halal indonesia disiplin protokol sehat
covid_gugus,3/7/2022 2:34,positif,hindar berita palsu fakta vaksin aman indonesia disiplin protokol sehat
Taufan_100,3/7/2022 2:33,negatif,waspada provokasi kelompok penting kait tolak vaksin vaksin covid pilih perintah uji jamin aman indonesia disiplin protokol sehat
Rabia00785310,3/7/2022 2:31,positif,luhut kecam orang ajak tolak vaksin covid 19 indonesia disiplin protokol sehat
ddgunone,3/7/2022 2:30,positif,tentu vaksin covid 19 produksi pt biotis pharmaceuticals univesitas airlangga hukum suci halal indonesia disiplin protokol sehat
lordzuko77,3/7/2022 2:30,positif,satgas covid 19 gencar vaksin protokol sehat
beritamucoid,3/7/2022 2:27,netral,jakarta 192 juta duduk indonesia sunti vaksin covid 19 dosis data satu tugas tangan covid 19 minggu
Degisugi3,3/7/2022 2:27,positif,waspada provokasi kelompok penting kait tolak vaksin vaksin covid pilih perintah uji jamin aman indonesia disiplin protokol sehat
CindyKarson,3/7/2022 2:26,positif,vaksin aman indonesia disiplin protokol sehat covid 19
CEOfficialID,3/7/2022 2:25,netral,viral bocah laki laki tahan hadap suntik vaksin covid 19 jarum tembus kulit
aldhopriskap,3/7/2022 2:23,positif,satgas covid 19 gencar vaksin protokol sehat indonesia disiplin protokol sehat
Anastas41242901,3/7/2022 2:22,positif,camat orang ajak tolak vaksin covid 19 indonesia disiplin protokol sehat
bokutoomu_,3/7/2022 2:18,negatif,kena covid 19 enak omicron enih pls semua orang tinggal simpan ngerasain vaksinbooster gin bener bener karuan kali kena parah gejala
siboypasee,3/7/2022 2:16,positif,indonesia disiplin protokol sehat tambah covid 19 3 minggu satu tugas satgas covid 19 kabupaten kulonprogo galak vaksinasi terap protokol sehat protokol sehat
SinarOnline,3/7/2022 2:13,netral,kumulatif kini dosis vaksin program imunisasi covid 19 bangsa pilih 67 731 132
Erouliismail,3/7/2022 2:13,netral,menteri sehat malaysia menteri kesihatan malaysia vaksin coronavac kanak kanak usia 5 11 program imunisasi covid 19 bangsa kanak kanak vaksin untuk anak esok 7 mac
ahikusuma,3/7/2022 2:11,netral,dar admin vaksin covid 19 anak anak syarat ajar tatap muka kelas harap tempat anak anak vaksin ajar sekolah atur
pkmsawangan_,3/7/2022 2:10,netral,morning tweeps jadwal layan vaksinasi covid 19 rabu jumat uptd puskesmas sawangan yuk lengkap vaksin booster salam sehat semangat vaksinasicovid19 vaksincovid19 vaksinbooster pfizer sinovac astrazeneca
Yanuarcandra7,3/7/2022 2:07,positif,perintah bahaya masyarakat tuju vaksinasi tingkat kebal tubuh masyarakat virus corona varian covid 19 omicron vaksin aman anak hamil indonesia disiplin protokol sehat
trenggalek,3/7/2022 2:06,positif,trenggalek lumayan aman sebar omicron monggo kuat aman vaksin
BKudok,3/7/2022 2:06,positif,vaksin covid pilih perintah uji jamin aman indonesia disiplin protokol sehat
JiwaSukri,3/7/2022 2:05,positif,perintah pasti vaksin indonesia aman efektif cegah tular covid 19 indonesia disiplin protokol sehat
JiwaSukri,3/7/2022 2:05,positif,perintah pasti vaksin indonesia aman efektif cegah tular covid 19 2 indonesia disiplin protokol sehat
JiwaSukri,3/7/2022 2:05,positif,perintah pasti vaksin indonesia aman efektif cegah tular covid 19 4 indonesia disiplin protokol sehat
JiwaSukri,3/7/2022 2:05,positif,perintah pasti vaksin indonesia aman efektif cegah tular covid 19 3 indonesia disiplin protokol sehat
HMonapa,3/7/2022 2:04,positif,satgas covid 19 gencar vaksin protokol sehat indonesia disiplin protokol sehat ajdja djkajdkajkd
Alif23120984,3/7/2022 2:03,positif,satgas covid 19 gencar vaksin protokol sehat indonesia disiplin protokol sehat
syafrilnababan1,3/7/2022 2:03,positif,satgas covid 19 gencar vaksin protokol sehat indonesia disiplin protokol sehat
BojonegoroMato1,3/7/2022 2:01,positif,indonesia disiplin protokol sehat waspada provokasi kelompok penting kait tolak vaksin vaksin covid pilih perintah uji jamin aman
Cdric58694863,3/7/2022 2:00,netral,alhamdulillah wa syukru lil bapak rumah sakit minggu rawat ruang isolasi rsud situbondo positif covid khawatir usia sepuh diabetes jantung vaksin 2 kali rencana booster
bharianmy,3/7/2022 1:59,netral,bhdunia zhu tao ketua saintis keluar vaksin cansinobio dapat vaksin kuat alit vaksin coronavirus covid 19
pajiueo,3/7/2022 1:55,positif,eh habis covid vaksin sii w vaksin
bagong51698874,3/7/2022 1:53,netral,indonesia disiplin protokol sehat
exomalaysia_,3/7/2022 1:50,negatif,vaksin covid 19 15 juta populasi dewasa negara terima dosis booster
crocuscream,3/7/2022 1:45,positif,duh males ajak ngomong vaksin covid dan lain2
Satpol_PP_Pati,3/7/2022 1:40,netral,06 3 2022 selamat pagi giat ops yustisi terap ppkm level 3 laksana ya yuk taat protokol sehat putus sebar covid 19 dihimbau masyarakat laksana vaksin jateng linmas shmm
humaspolreswk,3/7/2022 1:35,negatif,vaksinbooster positif covid 19 sumber
pmrtenom,3/7/2022 1:35,netral,daftar anak vaksinasi covid 19 rara jom lindung keluarga covid 19 pemberitahuan vaksin kanak kanak layar sumber myhealthkkm
Kiselwitxh_,3/7/2022 1:31,negatif,paham karena vaksin or booster gap 3 months kena covid
JarrFajarr_,3/7/2022 1:29,netral,viral siswa sampai dengan tahan hadap tahan hadap suntik vaksin covid 19 kadinkes banten fakta
Dee82659523,3/7/2022 1:27,netral,alhamdulillah anak anak kena covid efek demam bentar flu batuk parah vaksin
FardiantoFariz,3/7/2022 1:25,netral,vaksinasi ulang data
dewifor99,3/7/2022 1:23,netral,vaksinasi covid 19 laksana senin kamis 7 10 maret 2022 09 00 11 00 aula lantai 5 rsu universitas muhammadiyah malang jenis vaksin dosis 1 2 usia 6 12 sinovac dosis 1 2 atas 12 pfizer booster pfizer
Siessungong,3/7/2022 1:19,netral,guna vaksin coronavac keluar sinovac kesan lindung kanak kanak jangkit wabah covid 19 gus kurang masuk golong rumah sakit unit rawat rapi icu
4nto37th,3/7/2022 1:19,netral,anak badui bekal ilmu tahan hadap orang tua tugas covid sulit vaksin
arifakib1,3/7/2022 1:18,netral,kadar aefi sinovac rendah banding vaksin resiko covid 19 kanak2 rendah banding orang tua sakit kalang dewasa muda risiko aefi teknologi sinovac vaksin bayi kanak2 n reliable
edisisiasatMYS,3/7/2022 1:17,netral,pati vaksin sijil mysejahtera jim malaysia covid vaksin hotel pawanratkomarwut
KompasEkonomi,3/7/2022 1:16,positif,tangan covid 19 airlangga nahdlatul ulama berani benyatakan vaksin halal aman
pkmsawangan_,3/7/2022 1:13,netral,layan vaksinasi covid 19 vaksin astrazeneca uptd puskesmas sawangan yuk vaksin dosis 1 2 3 rapat vaksinasicovid19 astrazeneca vaksinbooster vaksincovid19
rtndwa,3/7/2022 1:07,netral,jadwal lokasi vaksinasi covid 19 datang puskesmas mal lurah gerai vaksin polsek cek jadwal
PPSDMPD,3/7/2022 1:05,positif,kuat tekan sebar covid 19 yuk vaksin tegal protokol sehat protokolkesehatan covid 19 lawancovid19
PPSDMPD,3/7/2022 1:05,positif,senang monday sobatpusbangdarat ayo vaksin vaksinbooster vaksin tiga tingkat imunitas tubuh lawan virus corona langkah putus tular covid 19
GodrilSolo,3/7/2022 0:54,positif,orang pilih vaksin pergi kota supermarket belanja anak pjj sekolah putus mudah2an hidup normal 100 covid amin
Humastrobkskota,3/7/2022 0:52,netral,laksana giat vaksinasi covid 19 dosis 3 booster vaksin anak 6 11 lansia 2022 kec jatisampurna kota bekas
Daus477161,3/7/2022 0:51,positif,liya malu orang melaka ayat vaksin 3 dosa positif covid alhamdulillah nya sintom covid kena kuat bagus vaksin cik puan tuan percaya rukun iman 6 x
KancilCungkring,3/7/2022 0:46,netral,video anak suku badui viral lantar tahan hadap suntik vaksin covid 19 usut usut video berita palsu
amirhimself,3/7/2022 0:44,netral,bhhiburan jangkit covid 19 usia 70 ramli sarip syukur lindung vaksin coronavirus covid 19
jfgltm,3/7/2022 0:30,netral,bayang rawat 3 juta orang indonesia obat gratis covid beli vaksin bantu sosial didik jokowi hutang kaya keluarga
Aditlasri3,3/7/2022 0:29,negatif,covid hilang covid atur politik mafia vaksin raih untung bohong rakyat begitu
obatbobo,3/7/2022 0:26,negatif,antri pintu masuk krl aku useless wasting banget vaksin 3x damai banget covid kayak deh buang ngantri maksud batas tumpang sebenernya ngantri dekat krl
JagoRinggo,3/7/2022 0:16,netral,maribersatupulihkannkri maribersatupulihkannkri capai vaksinasi indonesia tembus 147 8 juta masyarakat indonesia suntik vaksin covid 19 dosis tambah total 147 858 311 orang terima vaksin lengkap minggu 6 maret 2022
JagoRinggo,3/7/2022 0:16,netral,target vaksinasi remaja usia perintah target 26 705 490 remaja usia 17 terima vaksin covid 19 maribersatupulihkannkri
tsur4r4_,3/7/2022 0:16,netral,perintah target 26 5 juta anak usia 6 11 lindung vaksin covid 19 maribersatupulihkannkri
cilokbelokansmp,3/7/2022 0:15,netral,salepin gatel perih kasih salep lo sih lawan aku aku vaksin 2 kali covid 1x mari
SekPurwanegara,3/7/2022 0:10,positif,wajib vaksin ikhtiar hadap pandemi covid 19 wujud peduli ayovaksin sesuai jadwal lur
deeruslan,3/6/2022 23:56,netral,en bunga cengkih fungsi hilang demam dengan baik covid fuck in demam marah anti vaksin orang konspirasi paling bunga cengkih tuhan smpai tidak mau vaksin cerita
ragasss1,3/6/2022 23:25,netral,perintah target 26 5 juta anak usia 6 11 vaksin covid maribersatupulihkannkri
afterhourdrinks,3/6/2022 23:24,netral,serius nanya sintas covid nunggu vaksinbooster
SuluhSumatera,3/6/2022 23:23,netral,68 78 persen warga sumut terima sunti vaksin covid 19 dosis ii
Argo00449750,3/6/2022 23:11,negatif,ciri2 qadrun odgj 1 percaya dokter gila 2 percaya gabener bohong 3 puja gabener korup 4 sembah baliho kriminal 5 percaya covid 6 vaksin gratis ribut vaksin bayar 7 jadi kaum pecat sumber informasi 8 stress dengar indonesia raya
tawaufm,3/6/2022 23:08,netral,beri vaksinasi sinovac kanak kanak 7hb mac 2022 rujuk catat ppv pilih halaman sawang
DimensiChanyeol,3/6/2022 23:00,netral,masyarakat indonesia suntik dosis vaksin covid 19 tambah maribersatupulihkannkri
yaqudus1,3/6/2022 23:00,netral,perintah target 26 5 juta anak usia 6 11 lindung vaksin covid 19 luas cakup vaksinasi harap cepat bentuk kebal kelompok kelompok kebal maribersatupulihkannkri
Lubis54334422,3/6/2022 23:00,netral,alhamdulillah masyarakat indonesia suntik vaksin covid 19 dosis tingkat maribersatupulihkannkri
Resitabigwin,3/6/2022 23:00,netral,perintah menargetkanb26 705 490 remaja usia 12 17 terima vaksin covid 19 maribersatupulihkannkri
BebiCocomelon,3/6/2022 23:00,netral,perintah target 26 5 juta anak usia 6 11 lindung vaksin covid 19 maribersatupulihkannkri
antonyh30296559,3/6/2022 23:00,netral,vaksinasi lansia capai 12 juta dosis progres vaksinasi covid 19 usia cepat 12 046 742 lansia terima vaksin dosis lengkap maribersatupulihkannkri
kainsifon,3/6/2022 23:00,netral,perintah target 26 5 juta anak 6 11 lindung vaksin covid 19 maribersatupulihkannkri labxbs
starlal69097653,3/6/2022 23:00,netral,perintah target 26 705 490 remaja usia 12 17 terima vaksin covid 19 76 62 persen tuntas vaksinasi maribersatupulihkannkri
sepaturodaku,3/6/2022 23:00,netral,masyarakat indonesia suntik vaksin covid 19 dosis tambah maribersatupulihkannkri
BerikKloningan2,3/6/2022 22:57,netral,norwegia tanggal 12 febr 2022 hapus batas qr code wajib masker paspor vaksin infeksi cov d turun 42 narasi pandemik tumbang
bianca726484368,3/6/2022 21:15,negatif,biar dagang vaksin polymerase chain reaction test peduli lindung laku ya biar dengar gawat pilpres tunda maaf moga segera breaking news erick thohir positif covid 19 jokowisemakindiktator
voidotid,3/6/2022 20:12,netral,beri vaksin covid 19 sunti
bernardwee13,3/6/2022 19:42,negatif,ristianto vaksin covid 19 efek samping orang bodoh imun alami bagus imun asal asi bagus susu formula 1970an nestle bunuh ribu bayi negara kembang susu formula
fikrihxkim,3/6/2022 18:39,netral,obat ivermectin sembuh covid vaksin sembuh covid vaksin imunekan covid ko paham paham
BantenNews_coid,3/6/2022 18:02,netral,viral anak suku badui mempan suntik vaksin covid 19
Rendy68670236,3/6/2022 17:48,positif,ayo warga indonesia segara vaksin hindar covid 19 indonesia sehat
TessaBunengneng,3/6/2022 17:32,positif,sehat putus mata rantai sebar covid 19 ayo vaksin badan sehat
Jaroy27076874,3/6/2022 17:25,netral,takut vaksin segara vaksin sehat hindar covid 19
Raihann29705843,3/6/2022 17:22,positif,jaga sehat vaksin cegah covid 19 badan sehat
Barangkali_81,3/6/2022 17:19,negatif,heryanto invasi ukraina rencana om aneksasi kirim ya negri isu negara covid vaksin inflasi ham sih tradis
info_RI,3/6/2022 17:18,netral,covid paham kerja vaksin suntik muncul efek samping lepas khawatir vaksin covid efek samping jam minggu vaksin terima tubuh
jempol_kuh,3/6/2022 17:14,netral,orang katakutan video wuhan sebar berita palsu sungai gangga lengan leceh vaksin covid kali alas ikhtiar pantes ngomongin perang
penunggutakor,3/6/2022 16:58,positif,y kesan nantangin tekan covid vaksin
aliahbwabwa,3/6/2022 16:54,netral,scientist teliti ilmu barangkali pakai vaksin covid
cyrawords,3/6/2022 16:47,netral,vaksin untuk anak 970 000 populasi kanak kanak malaysia terima vaksin covid 19
galuh12000,3/6/2022 16:43,netral,dengar isu berita palsu luar vaksin sehat tubuh daya imun kuat hindar covid 19
Sherin_Tiara,3/6/2022 16:39,netral,lapor temu berita palsu putar vaksin covid 19 jumat 4 3 2022 470 temu berita palsu sebar media sosial sebar capai 2 661 konten
DefRicad,3/6/2022 16:38,negatif,trs pihak si lawak si lawak berhala gtu mending urus covid aj dokter jual vaksin merdeka merdeka
DindaNatasha15,3/6/2022 16:35,positif,perintah pasti vaksin covid 19 bukti aman uji indonesia disiplin protokol sehat
Sherin_Tiara,3/6/2022 16:34,netral,berita palsu vaksin covid 19 kominfo turun 2 659 konten media sosial masyarakat bijak ya bermedsos
KaulAP1,3/6/2022 16:25,negatif,covid 19 vaksin kadaluarsa sebab limbah vaksin kemas rusak kadaluarsa suhu
taishan_dtrt,3/6/2022 16:16,netral,perintah indonesia tetap vaksinasi covid 19 dosis tiga vaksinbooster 12 januari 2022 masyarakat indonesia oleh vaksinbooster sahabat sehat masuk terima infokesehatantaishan covid
Sambern86576955,3/6/2022 16:08,negatif,ristianto bayi2 kampung kenal nama vaksin flu tinggal gara sakit flu trus sama vaksin flu covid vaksin covid trial error karakter virus blm paham bikin tangkal
hsn19,3/6/2022 16:04,negatif,vaksin heran kena covid
99dotco_ID,3/6/2022 16:00,netral,tandang ulas yuk rumah jubir vaksin covid 19 wara wiri di layar kaca siti nadia tarmizi blog99indonesia nicodesign 99indonesia
donkardono,3/6/2022 15:52,netral,10 6 miliar dosis vaksin covid 19 dunia target vaksinasi 70 persen juni juli 2022 perang vs pandemi kalah serius perang ukraine russia who covid 19 covid
Syahsribm,3/6/2022 15:52,netral,baru nilai resiko rki kait covid 19 wajib vaksin bijak 2g 3g laku
indeksncom,3/6/2022 15:21,negatif,ratus vaksin covid 19 kadaluarsa simpan bengkulu
nurulshazwanny,3/6/2022 15:21,positif,simpul alam musim covid kena hati hati virus cepat rebak kena bijak ambil vaksin booster selamat keluarga kawan orang keliling dasar lengkap vaksin booster selamat
pahang_media,3/6/2022 15:19,netral,maklum kini catat klinik swasta gp hubung temu janji vaksin covid 19 kanak kanak 5 12
Rifki91025447,3/6/2022 15:17,positif,senang dengar masyarakat tenang aku vaksin 3 biar aman covid vaksin vaksin guys
Dedi_swo,3/6/2022 15:01,positif,vaksin vaksin vaksin guys biar hindar wabah covid 19
lpbulukumba,3/6/2022 14:39,positif,kadiv masyarakat kemenkumham sulsel edi kurniadi rangka cegah covid 19 24 lapas rutan lpka sulsel vaksinasi capai 98 38 persen 10 997 warga bina masyarakat vaksin ri sulsel kumham pasti kumham sulsel
StopPlandemit,3/6/2022 14:34,netral,ampuh hajar covid efek vaksin madu purba hitam super leavech murni asli
republikaonline,3/6/2022 14:27,netral,ribu dosis vaksin pakai distribusi oku februari 2022
radarbangsa_com,3/6/2022 14:27,netral,warga ri terima vaksin covid 19 dosis capai 147 85 juta orang
sueryhani,3/6/2022 14:14,netral,alami booster bantu stage bahaya booster vaksin ambil lambat tinggal simpan teman covid real
Karmila155,3/6/2022 14:14,positif,wow indonesia sinyal positif pusat produksi vaksin covid 19 asia tenggara sinergitas menteri bumn menteri sehat menteri negeri kunci percaya who denganetmerdekaberdaulat
AD3NT_,3/6/2022 14:05,negatif,rhi covid vaksin smpe rambut rontok
liputan6dotcom,3/6/2022 14:04,netral,sebar berita palsu putar vaksin covid 19 medsos sentuh 2 663 simak rinciannya
CWHomespa,3/6/2022 14:03,negatif,siksa kena covid karena sakit tenggorok sakit kepala bayang 3x vaksin turun kena anak baby orang tanggung sakit
voidotid,3/6/2022 13:56,netral,menteri sehat target laksana vaksinasi primer vaksinasi dosis selesai maret 2022
nenatash4,3/6/2022 13:54,negatif,lelah sia covid cer bayang ko vaksin ish ish ish
Sagarmatha08,3/6/2022 13:54,negatif,vaksin bayi 2 kali pakai booster covid hebat mutasi jilid jilid virus bodoh
dsangg377,3/6/2022 13:52,netral,negara ubah status pandemi covid endemi laku batas ketat putus dasar data vaksin tingkat parah sembuh
siapasayaniye,3/6/2022 13:52,negatif,cakap vaksin orang aktif haihh vaksin efek kena covid efek cepat semput tidak nyaman jaga kena covid
PEMKOT_SOLO,3/6/2022 13:51,positif,vaksinbooster proteksi resiko buruk covid 19 terap protokol sehat lengah vaksin protokol sehat kunci putus sebar covid 19 langkah lindung keluarga lingkung
AmelLianst,3/6/2022 13:51,positif,ayo booster vaksin covid 19 indonesia disiplin protokol sehat
azkadotid,3/6/2022 13:50,negatif,cuan vaksin covid 19
araaizz,3/6/2022 13:42,netral,vaksin covid orang kait 5g
Yandevilito79,3/6/2022 13:38,positif,ristianto alhamadulillah vaksin covid kesini putus vaksin covid
HerliansyahMas1,3/6/2022 13:35,negatif,1 8jt jamin negatif wahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahahaha sedih aku variasi 1 8jt 1 3jt 275rbx2 pantes covid kelar vaksin ambil sinovac trus negeri gin pandemi sangat
IDCorner,3/6/2022 13:31,negatif,cuan vaksin covid 19 idcorner
Beritasatu,3/6/2022 13:18,netral,data terima vaksin covid 19 6 maret 2022
KominfoPemalang,3/6/2022 13:17,netral,capai vaksin covid 19 kab malang 5 maret 2022 dasar pcare
