username,tanggal,tweet,sentimen
pkmjangkar,2022-03-07 23:58:20,".update jadwal vaksinasi covid-19 UPT Puskesmas Jangkar

Selasa, 08 Maret 2022
""Vaksin Aman""
""Vaksin Halal""
""Masyarakat Sehat""
""Indonesia Kuat

@dinkes_situbondo 
PeneranganSibu,2022-03-06 12:21:32,"Pemberian vaksinasi Sinovac untuk kanak-kanak ini akan bermula pada 7hb Mac 2022. Anda boleh rujuk senarai PPV yang terpilih di laman sesawang berikut: 

https://t.co/hdhDq4r0B8

https://t.co/iPM7bpe77x https://t.co/JaM86nKJOX"
JapenPerlis,2022-03-06 12:20:47,"Pemberian vaksinasi Sinovac untuk kanak-kanak ini akan bermula pada 7hb Mac 2022. Anda boleh rujuk senarai PPV yang terpilih di laman sesawang berikut: 

https://t.co/hdhDq4r0B8

https://t.co/iPM7bpe77x https://t.co/JaM86nKJOX"
zkyzubaidi,2022-03-06 12:20:30,@langbiru @shidulala Hg punya kesan positif covid ni mostly geng yang kena vaksin az dah merasai
Wnyidn,2022-03-06 12:18:46,"Allahu benda yang kite taknak jadi akhirnya jadi jugak . My niece, Suri was positive covid 🥺😭 Dah lah budak kecik tak amik vaksin lagi 😭"
kkochhhana_,2022-03-06 12:18:15,"Walaupun hanya 2.6% penduduk dewasa belum vaksin, mereka mewakili 57% kes COVID harian &amp; 92% kematian harian.

64% penduduk sudah dapatkan dos penggalak, tapi hanya mewakili 18% kes &amp; 1% kematian harian.

VAKSIN BERKESAN
DOS PENGGALAK BERKESAN

Dapatkannya sekarang!
#SihatBersama https://t.co/IF60HmBQuB"
fhmiazz,2022-03-06 12:15:00,"2019 - Covid sampai 
2020 - Kau dah vaksin?
2021 - Kau dah booster?
2022 - Kau dah kena covid belum?
2023 - TBD"
SatbrimobdaGor1,2022-03-06 12:14:21,"PENGAMANAN VAKSIN COVID-19.

Personil Satbrimobda Gorontalo lakukan penjagaan ketat Vaksin di Gudang Penyimpanan. https://t.co/zDxBCu9FDM"
m_iqone,2022-03-06 12:10:51,@DGHisham Tak pyhla nak vaksin da ada obat....tak ada obat ni pun Alhamdulillah saya serta anak anak dan isteri positif covid sebelum ni sembuh hanya guna herba asli dn vitamin C.....yakin Allah maha penyembuh.
bondanunu,2022-03-06 12:08:13,@AyamAcc Dapat covid is like a badge of honor la tu. Nak promote vaksin berkesan after recovery padahal tak semestinya covid yg dijangkiti.
raihanaditya86,2022-03-06 12:05:47,"@alfajri221810 sebelum di vaksin di sana ngga ada kasus covid, setelah ada vaksin2an jd ada kasus covid?"
Timmy41557226,2022-03-06 12:02:58,"Di medsos semakin banyak orang2 mengeluh karena KIPI pasca vaksinasi covid. Mereka tidak siap atas konsekuensi dari keputusan mereka sendiri atau gimana? Bagusnya jangan mengeluh di medsos, sampaikan saja keluhanmu itu pada produsen vaksin."
zkyzubaidi,2022-03-06 11:54:33,"@langbiru @shidulala Hg punya post covid ni, dapat rasa time geng az dapat vaksin"
PolresReserse,2022-03-06 11:53:12,"Booster vaksin disebut juga vaksin dosis ketiga diberikan sebagai upaya untuk memutuskan rantai penularan COVID-19. Tujuannya dengan meningkatkan imunitas tubuh dalam melawan virus Corona.

Ayo Vaksin!!! https://t.co/rGAdycHlmM"
Yola13December,2022-03-06 11:51:38,Tak pernah sangka yang sekarang ni sampai dah tahap kita bukan lagi tanya soalan kau dah vaksin ke belum tapi kita tanya kau dah pernah kena covid ke belum? Depan belakang kiri kanan orang +. Moga kita semua dilindungi sentiasa.
BinNorhasmin,2022-03-06 11:49:50,"Pemberian vaksinasi Sinovac untuk kanak-kanak ini akan bermula pada 7hb Mac 2022. Anda boleh rujuk senarai PPV yang terpilih di laman sesawang berikut: 

https://t.co/hdhDq4r0B8

https://t.co/iPM7bpe77x https://t.co/JaM86nKJOX"
BinNorhasmin,2022-03-06 11:49:01,"Kenyataan Media Kementerian Kesihatan Malaysia 

Pemberian Vaksin Sinovac Kepada Kanak-Kanak 5 Hingga 11 Tahun Dibawah Program Imunisasi COVID-19 Kebangsaan (Kanak-Kanak) https://t.co/J66DPJVJGH"
suara_pembebasa,2022-03-06 11:48:05,@ItungSahara @SumandoGaek Mereka tau vaksin covid itu beresiko. Tapi kebanyakan milih diem dan takut gak dapet bayaran
PutuSambernyawa,2022-03-06 11:45:50,"Rangkuman Covid: Bocah Badui Kebal Vaksin, Turis Bali Tak Karantina https://t.co/AAHCN0VYYR"
sheque,2022-03-06 11:45:16,"Kasus Covid-19 di HK termasuk parah saat ini.
Salah satu faltor, tdk adanya bumper natural-immunity krn proteksi ketat. Hanya vaksin yg jadi bumper.

Negara"" 'jawara' seblmnya juga rontok.

Bisa diperkirakan bgmn di CH &amp; TW jika proteksi/lock mrk terbuka.

https://t.co/UXnPZYplEJ https://t.co/0aeQU6C96I"
AffaSyaripuddin,2022-03-06 11:40:00,"@kuzii_music Sampai skg masih ada kesan covid tu... Amik masa sembuh lama jugak lah tapi nasib baik waktu tu dah amik vaksin kalau tak , tak tahu nk ckp apa. 

GWS mr Dj.💪🏻🤲🏻"
pmrnabawan,2022-03-06 11:38:06,"Pemberian vaksinasi Sinovac untuk kanak-kanak ini akan bermula pada 7hb Mac 2022. Anda boleh rujuk senarai PPV yang terpilih di laman sesawang berikut: 

https://t.co/hdhDq4r0B8

https://t.co/iPM7bpe77x https://t.co/JaM86nKJOX"
pmrnabawan,2022-03-06 11:37:48,"Kenyataan Media Kementerian Kesihatan Malaysia 

Pemberian Vaksin Sinovac Kepada Kanak-Kanak 5 Hingga 11 Tahun Dibawah Program Imunisasi COVID-19 Kebangsaan (Kanak-Kanak) https://t.co/J66DPJVJGH"
DScute_20,2022-03-06 11:37:48,"HOAKS VAKSIN COVID-19 MASIH BANYAK, KOMINFO TURUNKAN 2.661 KONTEN DI MEDIA SOSIAL

@kemkominfo terus melaporkan temuan hoaks seputar vaksin Covid-19. Hingga Jumat (4/3/2022) terdapat 470 temuan hoaks yg tersebar di berbagai media sosial dan sebarannya mencapai 2.661 konten. https://t.co/06skfdJLde"
DScute_20,2022-03-06 11:37:44,"@ABSetyono @kemkominfo @dennysirregar7 @psi_id @Aryprasetyo85 @Prabu_dasamuka @babegalak1 @myozhyme @PlateJohnny @putrivio3 @setengahmalass Hoaks Vaksin Covid-19 Merajalela di Medsos, Kominfo Takedown Ribuan Konten.
@PlateJohnny @kemkominfo"
DScute_20,2022-03-06 11:37:25,"Hoaks Vaksin Covid-19 Merajalela di Medsos, @kemkominfo Takedown Ribuan Konten

Johnny Plate https://t.co/aMe8ayM794"
naquib_najib,2022-03-06 11:37:10,"Baca surat ni, baca tweet saya, baca pendapat saintis bidang (virologi, biologi molekular) dan nilai sendiri.

Pemahaman saya, kajian ini dijadikan hujah luar konteks menambah keraguan terhadap vaksin.

Yakin dengan vaksin. Vaksin selamat, berkesan meringankan komplikasi covid."
LiaIsti6,2022-03-06 11:36:51,"Contoh..

Gue yakin loe ga bakal tau berapa harga satu dosis vaksin covid kl China dan Russia tidak obral besar2an..

Mereka rencana jualan macem iPhone..

Sudah loe beli barangnya sudah mahal..
Beli apps nya juga mahal..

😂😂😂"
ftrrii1,2022-03-06 11:36:00,"@jjiiahh @OrangeUc1000 @aquariestt @arif_ristianto @alfajri221810 Ga bs nangkep twitnya ya? Di ss an twit itu ga bilang ini drop malah suntik. 
Yg ada dia bandingin ketika sdh vaksin dan kena covid malah lebih parah drpd kena cvd sblm vaksin. 
Masa twit yg udah jelas2 gitu msh harus diterjemahkan😅"
anggawangga1,2022-03-06 11:35:07,"Vaksin penting bagi tubuh untuk berlindung dari bahaya Covid-19
#TaatProkesSelamaPandemi #AyoVaksin #IndonesiaSehatIndonesiaHebat #ProkesKebiasaanBaru #DisiplinPatuhiProkes https://t.co/5XRGxqUSxy"
ollayohhh,2022-03-06 11:33:40,"Pemberian vaksinasi Sinovac untuk kanak-kanak ini akan bermula pada 7hb Mac 2022. Anda boleh rujuk senarai PPV yang terpilih di laman sesawang berikut: 

https://t.co/hdhDq4r0B8

https://t.co/iPM7bpe77x https://t.co/JaM86nKJOX"
OwlWinky,2022-03-06 11:32:39,"Vaksin menjadi salah satu alat pelindung paling efektif dari bahaya Covid-19
#TaatProkesSelamaPandemi #AyoVaksin #IndonesiaSehatIndonesiaHebat #ProkesKebiasaanBaru #DisiplinPatuhiProkes https://t.co/HJE9IkWBxk"
Pekerjagigolo,2022-03-06 11:31:53,@__Sridiana_3va AsL ga ada mandotary pemaksaan vaksin dan prokes covid di rs
OwlWinky,2022-03-06 11:31:21,"Vaksin Covid-19 mampu merangsang sistem kekebalan tubuh, mengurangi risiko penularan, mengurangi dampak berat dari terpaparnya virus
#TaatProkesSelamaPandemi #AyoVaksin #IndonesiaSehatIndonesiaHebat #ProkesKebiasaanBaru #DisiplinPatuhiProkes https://t.co/A3fLnuZsP0"
Irul_Khai,2022-03-06 11:30:20,"Kepala Dinas Kesehatan Provinsi Banten dr Ati Pamudji Hastuti meyebut, peristiwa itu tak terjadi di wilayah Banten. https://t.co/R824TkDo0O"
OwlWinky,2022-03-06 11:29:38,"Ketahui manfaat vaksin Covid-19
#TaatProkesSelamaPandemi #AyoVaksin #IndonesiaSehatIndonesiaHebat #ProkesKebiasaanBaru #DisiplinPatuhiProkes https://t.co/KZ2xuaOTZL"
IZAWATI,2022-03-06 11:28:10,"Kenyataan Media Kementerian Kesihatan Malaysia 

Pemberian Vaksin Sinovac Kepada Kanak-Kanak 5 Hingga 11 Tahun Dibawah Program Imunisasi COVID-19 Kebangsaan (Kanak-Kanak) https://t.co/J66DPJVJGH"
Hadisuwondo5,2022-03-06 11:27:28,"Di medsos semakin banyak orang2 mengeluh karena KIPI pasca vaksinasi covid. Mereka tidak siap atas konsekuensi dari keputusan mereka sendiri atau gimana? Bagusnya jangan mengeluh di medsos, sampaikan saja keluhanmu itu pada produsen vaksin."
hermangoranov,2022-03-06 11:27:10,"Di medsos semakin banyak orang2 mengeluh karena KIPI pasca vaksinasi covid. Mereka tidak siap atas konsekuensi dari keputusan mereka sendiri atau gimana? Bagusnya jangan mengeluh di medsos, sampaikan saja keluhanmu itu pada produsen vaksin."
Saya02587553,2022-03-06 11:26:26,"Vaksinasi Covid-19 digelar di Terminal Petikemas Bitung,  siang tadi. Masyarakat Kota Bitung terlihat antusias menunggu giliran menerima vaksin.

Saya sempat berdialog melalui konferensi video dengan sejumlah perwakilan dari kab./kota yang juga menggelar acara yang sama hari ini. https://t.co/7BFNzHt1g3"
heyrezki,2022-03-06 11:26:17,"Di medsos semakin banyak orang2 mengeluh karena KIPI pasca vaksinasi covid. Mereka tidak siap atas konsekuensi dari keputusan mereka sendiri atau gimana? Bagusnya jangan mengeluh di medsos, sampaikan saja keluhanmu itu pada produsen vaksin."
akmalarif90,2022-03-06 11:25:48,"Rangkuman Covid: Bocah Badui Kebal Vaksin, Turis Bali Tak Karantina https://t.co/AAHCN0VYYR"
JannesHutajulu,2022-03-06 11:23:35,"Contoh..

Gue yakin loe ga bakal tau berapa harga satu dosis vaksin covid kl China dan Russia tidak obral besar2an..

Mereka rencana jualan macem iPhone..

Sudah loe beli barangnya sudah mahal..
Beli apps nya juga mahal..

😂😂😂"
Xrhjg,2022-03-06 11:22:57,"Kepala Dinas Kesehatan Provinsi Banten dr Ati Pamudji Hastuti meyebut, peristiwa itu tak terjadi di wilayah Banten. https://t.co/R824TkDo0O"
CNNIndonesia,2022-03-06 11:21:45,"Rangkuman Covid: Bocah Badui Kebal Vaksin, Turis Bali Tak Karantina https://t.co/AAHCN0VYYR"
kompascom,2022-03-06 11:21:34,"Kepala Dinas Kesehatan Provinsi Banten dr Ati Pamudji Hastuti meyebut, peristiwa itu tak terjadi di wilayah Banten. https://t.co/R824TkDo0O"
titanianingsih,2022-03-06 11:18:48,"Alhamdulillah wa syukru lillah. Bapakku sudah keluar dari RS. Selama seminggu dirawat di ruang isolasi RSUD Situbondo karena positif covid.

Sempat sangat khawatir karena usia sudah sepuh, apalagi punya diabetes &amp; jantung. Meski sudah vaksin 2 kali &amp; rencana booster. https://t.co/mt7cpBT4qu"
Sumardi_Sugiman,2022-03-06 11:17:41,"Kenyataan Media Kementerian Kesihatan Malaysia 

Pemberian Vaksin Sinovac Kepada Kanak-Kanak 5 Hingga 11 Tahun Dibawah Program Imunisasi COVID-19 Kebangsaan (Kanak-Kanak) https://t.co/J66DPJVJGH"
Michellelanious,2022-03-06 11:17:41,"Baca surat ni, baca tweet saya, baca pendapat saintis bidang (virologi, biologi molekular) dan nilai sendiri.

Pemahaman saya, kajian ini dijadikan hujah luar konteks menambah keraguan terhadap vaksin.

Yakin dengan vaksin. Vaksin selamat, berkesan meringankan komplikasi covid."
Sumardi_Sugiman,2022-03-06 11:17:17,"Pemberian vaksinasi Sinovac untuk kanak-kanak ini akan bermula pada 7hb Mac 2022. Anda boleh rujuk senarai PPV yang terpilih di laman sesawang berikut: 

https://t.co/hdhDq4r0B8

https://t.co/iPM7bpe77x https://t.co/JaM86nKJOX"
PmrBau,2022-03-06 11:14:56,"Kenyataan Media Kementerian Kesihatan Malaysia 

Pemberian Vaksin Sinovac Kepada Kanak-Kanak 5 Hingga 11 Tahun Dibawah Program Imunisasi COVID-19 Kebangsaan (Kanak-Kanak) https://t.co/J66DPJVJGH"
SirGepenk,2022-03-06 11:14:50,"Di medsos semakin banyak orang2 mengeluh karena KIPI pasca vaksinasi covid. Mereka tidak siap atas konsekuensi dari keputusan mereka sendiri atau gimana? Bagusnya jangan mengeluh di medsos, sampaikan saja keluhanmu itu pada produsen vaksin."
PmrBau,2022-03-06 11:14:32,"Pemberian vaksinasi Sinovac untuk kanak-kanak ini akan bermula pada 7hb Mac 2022. Anda boleh rujuk senarai PPV yang terpilih di laman sesawang berikut: 

https://t.co/hdhDq4r0B8

https://t.co/iPM7bpe77x https://t.co/JaM86nKJOX"
EraDigitalBiz,2022-03-06 11:12:12,"Juru Bicara Sinovac Biotech Ltd menyebutkan, hingga saat ini belum diketahui kemanjuran dari vaksin tersebut - #Tren https://t.co/0epVYFgvMY"
fadleeyusoff,2022-03-06 11:11:53,"Kenyataan Media Kementerian Kesihatan Malaysia 

Pemberian Vaksin Sinovac Kepada Kanak-Kanak 5 Hingga 11 Tahun Dibawah Program Imunisasi COVID-19 Kebangsaan (Kanak-Kanak) https://t.co/J66DPJVJGH"
fadleeyusoff,2022-03-06 11:11:30,"Pemberian vaksinasi Sinovac untuk kanak-kanak ini akan bermula pada 7hb Mac 2022. Anda boleh rujuk senarai PPV yang terpilih di laman sesawang berikut: 

https://t.co/hdhDq4r0B8

https://t.co/iPM7bpe77x https://t.co/JaM86nKJOX"
RacikSehat,2022-03-06 11:08:23,"Alhamdulillah wa syukru lillah. Bapakku sudah keluar dari RS. Selama seminggu dirawat di ruang isolasi RSUD Situbondo karena positif covid.

Sempat sangat khawatir karena usia sudah sepuh, apalagi punya diabetes &amp; jantung. Meski sudah vaksin 2 kali &amp; rencana booster. https://t.co/mt7cpBT4qu"
TRIOKWEKKWEKkI2,2022-03-06 11:07:20,"@MarthaAprilia20 @Rossali24295306 BIAR DAGANGAN VAKSIN, PCR TEST, PEDULI LINDUNGI LAKU TERUS YA?

Biar terdengar gawat, lalu Pilpres ditunda? 

Maaf, cuma tanya. Semoga disegerakan. 

Breaking News! Erick Thohir Positif Covid-19 https://t.co/j8CdNsWyXU 

#JokowiSemakinDiktator"
AlvaOmega_,2022-03-06 11:06:32,"Contoh..

Gue yakin loe ga bakal tau berapa harga satu dosis vaksin covid kl China dan Russia tidak obral besar2an..

Mereka rencana jualan macem iPhone..

Sudah loe beli barangnya sudah mahal..
Beli apps nya juga mahal..

😂😂😂"
poldabengkulu,2022-03-06 11:04:52,"Apa sajakah fakta tentang vaksin covid 19?
1. Vaksin covid 19 justru tingkatkan efektivitas sistem kekebalan tubuh

2. Vaksin mendorong sistem kekebalan tubuh agar merespon virus saat kontak langsung dengan virus

3. Vaksin membantu tubuh kita https://t.co/SZyxIG9jNh"
saputra_iko,2022-03-06 11:03:20,"Di medsos semakin banyak orang2 mengeluh karena KIPI pasca vaksinasi covid. Mereka tidak siap atas konsekuensi dari keputusan mereka sendiri atau gimana? Bagusnya jangan mengeluh di medsos, sampaikan saja keluhanmu itu pada produsen vaksin."
wamnews_ind,2022-03-06 11:02:45,"Kemenkes Mengumumkan Pemberian 8.176 Dosis Vaksin 'Covid-19' dalam 24 Jam Terakhir, Total Per Hari Ini 24.226.972 Dosis https://t.co/U9waImeTCw 
#WamNews"
wiwiagustin,2022-03-06 11:02:10,"Alhamdulillah wa syukru lillah. Bapakku sudah keluar dari RS. Selama seminggu dirawat di ruang isolasi RSUD Situbondo karena positif covid.

Sempat sangat khawatir karena usia sudah sepuh, apalagi punya diabetes &amp; jantung. Meski sudah vaksin 2 kali &amp; rencana booster. https://t.co/mt7cpBT4qu"
DScute_20,2022-03-06 11:00:42,"Hoaks Vaksin Covid-19 Masih Banyak,Kominfo Turunkan 2.659 Konten di Media Sosial

Hingga Rabu (2/3/2022) terdapat 469 temuan hoaks yang tersebar di berbagai media sosial dan sebarannya mencapai 2.659 konten.
@kemkominfo @PlateJohnny
https://t.co/FBiESo4P89"
DScute_20,2022-03-06 11:00:34,"@ABSetyono @kemkominfo @PlateJohnny Sebaran hoaks paling banyak ditemukan di Facebook. Di sana terdapat 2.463 konten hoaks seputar vaksin Covid-19.
@PlateJohnny @kemkominfo"
DScute_20,2022-03-06 10:59:35,"Kementerian @kemkominfo terus melaporkan temuan hoaks seputar vaksin Covid-19. 
Johnny Plate https://t.co/fvvASlYW9w"
malingdo,2022-03-06 10:58:37,"Jangkitan Covid ni benda real, ko tak vaksin ke, ko punya hal. Tp ko dah positif, jgn susahkan org lain hanat. Org keliling ko high risk, kalau jadi pape nak salahkan ko? Binawe punya org. Dah positif duduk umah diam², kuarintin. Ko sakit teruk mana, itu ko punya pasal."
Marbot_Udien,2022-03-06 10:57:28,"Video seorang anak diduga berasal dari Badui tidak bisa disuntik vaksin Covid-19, viral di media sosial, simak selengkapnya. #Vaksin https://t.co/OVe7ts8Ym5"
luthfi_jm,2022-03-06 10:55:43,"Di medsos semakin banyak orang2 mengeluh karena KIPI pasca vaksinasi covid. Mereka tidak siap atas konsekuensi dari keputusan mereka sendiri atau gimana? Bagusnya jangan mengeluh di medsos, sampaikan saja keluhanmu itu pada produsen vaksin."
syoksyoksyok,2022-03-06 10:54:20,Kementerian Kesihatan akan menggunakan vaksin CoronaVac (Sinovac) terhadap kanak-kanak berusia 5 hingga 11 tahun dalam Program Imunisasi COVID-19 Kebangsaan Kanak-Kanak (PICKids) bermula esok (7 Mac). https://t.co/f7yaQH2auT
jpnncom,2022-03-06 10:54:03,"Video seorang anak diduga berasal dari Badui tidak bisa disuntik vaksin Covid-19, viral di media sosial, simak selengkapnya. #Vaksin https://t.co/OVe7ts8Ym5"
3082Ardian,2022-03-06 10:53:38,"Alhamdulillah wa syukru lillah. Bapakku sudah keluar dari RS. Selama seminggu dirawat di ruang isolasi RSUD Situbondo karena positif covid.

Sempat sangat khawatir karena usia sudah sepuh, apalagi punya diabetes &amp; jantung. Meski sudah vaksin 2 kali &amp; rencana booster. https://t.co/mt7cpBT4qu"
PolsekRasauJaya,2022-03-06 10:51:47,"AYO PAKAI MASKER
AYO CEPAT VAKSIN COVID-19

#PolriPresisi https://t.co/ZDNHSnQNp6"
AreizAziz,2022-03-06 10:51:35,"Pemberian vaksinasi Sinovac untuk kanak-kanak ini akan bermula pada 7hb Mac 2022. Anda boleh rujuk senarai PPV yang terpilih di laman sesawang berikut: 

https://t.co/hdhDq4r0B8

https://t.co/iPM7bpe77x https://t.co/JaM86nKJOX"
__anomali__,2022-03-06 10:49:55,"@ProfesorZubairi Vaksin dan booster ada efektivitas NEGATIF terhadap Omicron. Kamu tidak paham apa2 tentang Covid dan Vaksin. Btw, ada kutipan kamu dalam artikel kami terbaru! https://t.co/FlYnvKwTIJ"
SinarOnline,2022-03-06 10:49:48,"Penggunaan vaksin CoronaVac keluaran Sinovac dilihat berkesan dalam melindungi kanak-kanak daripada dijangkiti wabak Covid-19

https://t.co/q7pgTkw7cq"
gaga_ros,2022-03-06 10:49:12,Seberapa kuat pun anda kalangan tidak vaksin pasti terpapar covid https://t.co/StCgwPp1nC
gaga_ros,2022-03-06 10:49:08,"Vaksinasi untuk memberikan imun lebih Kepada kita, agar covid cepat hilang dari Indonesia. Ayo vaksin https://t.co/V78g3QtxxH"
Polres_Ngr_Rai,2022-03-06 10:48:07,Kapan Bisa Vaksin Booster Jika Positif Covid-19? https://t.co/3dh5q9nerY
pengarang_sajak,2022-03-06 10:47:45,"Contoh..

Gue yakin loe ga bakal tau berapa harga satu dosis vaksin covid kl China dan Russia tidak obral besar2an..

Mereka rencana jualan macem iPhone..

Sudah loe beli barangnya sudah mahal..
Beli apps nya juga mahal..

😂😂😂"
AnisAsyiqin1,2022-03-06 10:47:08,"Ibu bapa dakwa KKM cuba nafikan anak meninggal dunia akibat vaksin Covid-19
https://t.co/Zhswk42353"
501Awani,2022-03-06 10:45:30,Vaksin itu dijangka mampu membantu golongan berisiko itu dilindungi daripada dijangkiti COVID-19. #AWANInews #AWANI745 #DisiplinMalaysia https://t.co/EKJhDVskk9
windinugroho1,2022-03-06 10:43:57,"Di medsos semakin banyak orang2 mengeluh karena KIPI pasca vaksinasi covid. Mereka tidak siap atas konsekuensi dari keputusan mereka sendiri atau gimana? Bagusnya jangan mengeluh di medsos, sampaikan saja keluhanmu itu pada produsen vaksin."
Haendarbeni,2022-03-06 10:43:25,"Di medsos semakin banyak orang2 mengeluh karena KIPI pasca vaksinasi covid. Mereka tidak siap atas konsekuensi dari keputusan mereka sendiri atau gimana? Bagusnya jangan mengeluh di medsos, sampaikan saja keluhanmu itu pada produsen vaksin."
YoyokSubandriy3,2022-03-06 10:42:34,"Kapan Bisa Vaksin Booster Jika Positif Covid-19?

Penyintas Covid-19 atau orang yang sudah sembuh dari Covid-19 juga direkomendasikan untuk mendapatkan vaksin booster

Sumber : https://t.co/hIa0HoatcT https://t.co/ROv01YWqm5"
AgungWidrajat,2022-03-06 10:42:15,"Alhamdulillah wa syukru lillah. Bapakku sudah keluar dari RS. Selama seminggu dirawat di ruang isolasi RSUD Situbondo karena positif covid.

Sempat sangat khawatir karena usia sudah sepuh, apalagi punya diabetes &amp; jantung. Meski sudah vaksin 2 kali &amp; rencana booster. https://t.co/mt7cpBT4qu"
NoviYan73140137,2022-03-06 10:41:42,"Apa Berarti Covad Covid Jahanam Pukimaknya ini sudah ga berarti lagi,  kalau gitu stop nakuti dan paksa rakyat hingga jadikan rakyat sebagai kelinci percobaan untuk vaksin, segeralah hentikan Plandemik ini, ia ga sih ?
😁🤣 https://t.co/OVZ96ntkRY"
myusrim20,2022-03-06 10:41:25,"Walaupun hanya 2.6% penduduk dewasa belum vaksin, mereka mewakili 57% kes COVID harian &amp; 92% kematian harian.

64% penduduk sudah dapatkan dos penggalak, tapi hanya mewakili 18% kes &amp; 1% kematian harian.

VAKSIN BERKESAN
DOS PENGGALAK BERKESAN

Dapatkannya sekarang!
#SihatBersama https://t.co/IF60HmBQuB"
syawal,2022-03-06 10:40:20,"Kenyataan Media Kementerian Kesihatan Malaysia 

Pemberian Vaksin Sinovac Kepada Kanak-Kanak 5 Hingga 11 Tahun Dibawah Program Imunisasi COVID-19 Kebangsaan (Kanak-Kanak) https://t.co/J66DPJVJGH"
imbangimedia,2022-03-06 10:38:37,"Apa Berarti Covad Covid Jahanam Pukimaknya ini sudah ga berarti lagi,  kalau gitu stop nakuti dan paksa rakyat hingga jadikan rakyat sebagai kelinci percobaan untuk vaksin, segeralah hentikan Plandemik ini, ia ga sih ?
😁🤣 https://t.co/OVZ96ntkRY"
yeolnnaa,2022-03-06 10:37:13,@convomf aku kena covid setelah vaksin kesatu dan setelah sembuh bener bener rambut jadi rontok bgt padahal rambut aku jarang rontok
C_AjiMahameru52,2022-03-06 10:35:40,"Kapan Bisa Vaksin Booster Jika Positif Covid-19?

Penyintas Covid-19 atau orang yang sudah sembuh dari Covid-19 juga direkomendasikan untuk mendapatkan vaksin booster

Sumber : https://t.co/hIa0HoatcT https://t.co/ROv01YWqm5"
DivHumas_Polri,2022-03-06 10:33:54,"Kapan Bisa Vaksin Booster Jika Positif Covid-19?

Penyintas Covid-19 atau orang yang sudah sembuh dari Covid-19 juga direkomendasikan untuk mendapatkan vaksin booster

Sumber : https://t.co/hIa0HoatcT https://t.co/ROv01YWqm5"
TabananHumas,2022-03-06 10:30:35,"Booster vaksin disebut juga vaksin dosis ketiga diberikan sebagai upaya untuk memutuskan rantai penularan COVID-19. Tujuannya dengan meningkatkan imunitas tubuh dalam melawan virus Corona.

Ayo Vaksin!!! https://t.co/qxYyNDJudn"
Mochama51451250,2022-03-06 10:29:59,"Alhamdulillah wa syukru lillah. Bapakku sudah keluar dari RS. Selama seminggu dirawat di ruang isolasi RSUD Situbondo karena positif covid.

Sempat sangat khawatir karena usia sudah sepuh, apalagi punya diabetes &amp; jantung. Meski sudah vaksin 2 kali &amp; rencana booster. https://t.co/mt7cpBT4qu"
asmanizam_ahmad,2022-03-06 10:29:34,"Pemberian vaksinasi Sinovac untuk kanak-kanak ini akan bermula pada 7hb Mac 2022. Anda boleh rujuk senarai PPV yang terpilih di laman sesawang berikut: 

https://t.co/hdhDq4r0B8

https://t.co/iPM7bpe77x https://t.co/JaM86nKJOX"
polsekkutautara,2022-03-06 10:29:30,"Booster vaksin disebut juga vaksin dosis ketiga diberikan sebagai upaya untuk memutuskan rantai penularan COVID-19. Tujuannya dengan meningkatkan imunitas tubuh dalam melawan virus Corona.

Ayo Vaksin!!! https://t.co/hLVJRFY4Yn"
Gunadi84380182,2022-03-06 10:29:23,"Alhamdulillah wa syukru lillah. Bapakku sudah keluar dari RS. Selama seminggu dirawat di ruang isolasi RSUD Situbondo karena positif covid.

Sempat sangat khawatir karena usia sudah sepuh, apalagi punya diabetes &amp; jantung. Meski sudah vaksin 2 kali &amp; rencana booster. https://t.co/mt7cpBT4qu"
PMRSemporna_,2022-03-06 10:29:21,"Pemberian vaksinasi Sinovac untuk kanak-kanak ini akan bermula pada 7hb Mac 2022. Anda boleh rujuk senarai PPV yang terpilih di laman sesawang berikut: 

https://t.co/hdhDq4r0B8

https://t.co/iPM7bpe77x https://t.co/JaM86nKJOX"
asmanizam_ahmad,2022-03-06 10:29:19,"Kenyataan Media Kementerian Kesihatan Malaysia 

Pemberian Vaksin Sinovac Kepada Kanak-Kanak 5 Hingga 11 Tahun Dibawah Program Imunisasi COVID-19 Kebangsaan (Kanak-Kanak) https://t.co/J66DPJVJGH"
PMRSemporna_,2022-03-06 10:27:46,"Kenyataan Media Kementerian Kesihatan Malaysia 

Pemberian Vaksin Sinovac Kepada Kanak-Kanak 5 Hingga 11 Tahun Dibawah Program Imunisasi COVID-19 Kebangsaan (Kanak-Kanak) https://t.co/J66DPJVJGH"
MarioInferno,2022-03-06 10:25:39,"Alhamdulillah wa syukru lillah. Bapakku sudah keluar dari RS. Selama seminggu dirawat di ruang isolasi RSUD Situbondo karena positif covid.

Sempat sangat khawatir karena usia sudah sepuh, apalagi punya diabetes &amp; jantung. Meski sudah vaksin 2 kali &amp; rencana booster. https://t.co/mt7cpBT4qu"
RiuRizkiUtomo_,2022-03-06 10:23:20,"Alhamdulillah wa syukru lillah. Bapakku sudah keluar dari RS. Selama seminggu dirawat di ruang isolasi RSUD Situbondo karena positif covid.

Sempat sangat khawatir karena usia sudah sepuh, apalagi punya diabetes &amp; jantung. Meski sudah vaksin 2 kali &amp; rencana booster. https://t.co/mt7cpBT4qu"
